area_code,primary_ethnic_origin,secondary_ethnic_origin,tertiary_ethnic_origin,total_count,male_count,female_count
K1S,North American Aboriginal origins,,,1090,515,580
K1S,North American Aboriginal origins,First Nations (North American Indian),,735,340,390
K1S,North American Aboriginal origins,Inuit,,10,0,0
K1S,North American Aboriginal origins,Métis,,395,180,210
K1S,Other North American origins,,,7810,3805,4005
K1S,Other North American origins,Acadian,,215,95,120
K1S,Other North American origins,American,,905,460,445
K1S,Other North American origins,Canadian,,7130,3480,3645
K1S,Other North American origins,New Brunswicker,,0,0,0
K1S,Other North American origins,Newfoundlander,,10,10,0
K1S,Other North American origins,Nova Scotian,,0,0,0
K1S,Other North American origins,Ontarian,,0,0,0
K1S,Other North American origins,Québécois,,35,25,10
K1S,Other North American origins,Other North American origins; n.i.e.,,0,0,0
K1S,European origins,,,21855,10595,11260
K1S,European origins,British Isles origins,,15915,7665,8245
K1S,European origins,British Isles origins,Channel Islander,10,0,10
K1S,European origins,British Isles origins,Cornish,0,0,0
K1S,European origins,British Isles origins,English,8520,4135,4385
K1S,European origins,British Isles origins,Irish,7810,3580,4230
K1S,European origins,British Isles origins,Manx,10,0,0
K1S,European origins,British Isles origins,Scottish,7395,3615,3780
K1S,European origins,British Isles origins,Welsh,935,405,530
K1S,European origins,British Isles origins,British Isles origins; n.i.e.,1645,780,865
K1S,European origins,French origins,,5520,2570,2950
K1S,European origins,French origins,Alsatian,0,0,0
K1S,European origins,French origins,Breton,10,0,0
K1S,European origins,French origins,Corsican,0,0,0
K1S,European origins,French origins,French,5520,2570,2950
K1S,European origins,Western European origins (except French origins),,5015,2435,2585
K1S,European origins,Western European origins (except French origins),Austrian,335,130,205
K1S,European origins,Western European origins (except French origins),Bavarian,10,0,0
K1S,European origins,Western European origins (except French origins),Belgian,135,55,75
K1S,European origins,Western European origins (except French origins),Dutch,1330,670,655
K1S,European origins,Western European origins (except French origins),Flemish,15,10,10
K1S,European origins,Western European origins (except French origins),Frisian,10,0,0
K1S,European origins,Western European origins (except French origins),German,3530,1750,1785
K1S,European origins,Western European origins (except French origins),Luxembourger,0,0,0
K1S,European origins,Western European origins (except French origins),Swiss,210,80,125
K1S,European origins,Western European origins (except French origins),Western European origins; n.i.e.,10,0,10
K1S,European origins,Northern European origins (except British Isles origins),,1230,580,645
K1S,European origins,Northern European origins (except British Isles origins),Danish,280,150,125
K1S,European origins,Northern European origins (except British Isles origins),Finnish,185,70,115
K1S,European origins,Northern European origins (except British Isles origins),Icelandic,70,50,25
K1S,European origins,Northern European origins (except British Isles origins),Norwegian,270,130,140
K1S,European origins,Northern European origins (except British Isles origins),Swedish,395,150,245
K1S,European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,90,60,35
K1S,European origins,Eastern European origins,,3840,1835,2000
K1S,European origins,Eastern European origins,Bulgarian,30,25,10
K1S,European origins,Eastern European origins,Byelorussian,75,40,30
K1S,European origins,Eastern European origins,Czech,215,85,125
K1S,European origins,Eastern European origins,Czechoslovakian; n.o.s.,35,10,30
K1S,European origins,Eastern European origins,Estonian,90,45,40
K1S,European origins,Eastern European origins,Hungarian,325,170,155
K1S,European origins,Eastern European origins,Latvian,65,25,40
K1S,European origins,Eastern European origins,Lithuanian,165,70,95
K1S,European origins,Eastern European origins,Moldovan,0,0,0
K1S,European origins,Eastern European origins,Polish,1360,605,760
K1S,European origins,Eastern European origins,Romanian,390,200,190
K1S,European origins,Eastern European origins,Russian,780,340,440
K1S,European origins,Eastern European origins,Slovak,145,55,85
K1S,European origins,Eastern European origins,Ukrainian,1045,520,520
K1S,European origins,Eastern European origins,Eastern European origins; n.i.e.,115,75,40
K1S,European origins,Southern European origins,,2420,1170,1255
K1S,European origins,Southern European origins,Albanian,35,10,25
K1S,European origins,Southern European origins,Bosnian,15,10,10
K1S,European origins,Southern European origins,Catalan,0,0,0
K1S,European origins,Southern European origins,Croatian,60,50,10
K1S,European origins,Southern European origins,Cypriot,10,0,10
K1S,European origins,Southern European origins,Greek,240,120,125
K1S,European origins,Southern European origins,Italian,1320,600,725
K1S,European origins,Southern European origins,Kosovar,0,0,0
K1S,European origins,Southern European origins,Macedonian,50,30,20
K1S,European origins,Southern European origins,Maltese,25,10,20
K1S,European origins,Southern European origins,Montenegrin,10,0,10
K1S,European origins,Southern European origins,Portuguese,255,130,125
K1S,European origins,Southern European origins,Serbian,85,45,40
K1S,European origins,Southern European origins,Sicilian,0,0,0
K1S,European origins,Southern European origins,Slovenian,45,30,15
K1S,European origins,Southern European origins,Spanish,445,225,220
K1S,European origins,Southern European origins,Yugoslavian; n.o.s.,10,0,0
K1S,European origins,Southern European origins,Southern European origins; n.i.e.,0,0,0
K1S,European origins,Other European origins,,480,225,255
K1S,European origins,Other European origins,Basque,20,15,10
K1S,European origins,Other European origins,Jewish,385,175,210
K1S,European origins,Other European origins,Roma (Gypsy),0,0,0
K1S,European origins,Other European origins,Slavic; n.o.s.,0,0,0
K1S,European origins,Other European origins,Other European origins; n.i.e.,80,40,40
K1S,Caribbean origins,Other European origins,,390,140,250
K1S,Caribbean origins,Antiguan,,30,15,15
K1S,Caribbean origins,Bahamian,,0,0,0
K1S,Caribbean origins,Barbadian,,35,10,25
K1S,Caribbean origins,Bermudan,,0,0,0
K1S,Caribbean origins,Carib,,10,0,10
K1S,Caribbean origins,Cuban,,15,0,15
K1S,Caribbean origins,Dominican,,35,10,20
K1S,Caribbean origins,Grenadian,,10,0,10
K1S,Caribbean origins,Guadeloupean,,0,0,0
K1S,Caribbean origins,Haitian,,15,0,15
K1S,Caribbean origins,Jamaican,,125,50,80
K1S,Caribbean origins,Kittitian/Nevisian,,0,0,0
K1S,Caribbean origins,Martinican,,0,0,0
K1S,Caribbean origins,Montserratan,,0,0,0
K1S,Caribbean origins,Puerto Rican,,20,0,20
K1S,Caribbean origins,St. Lucian,,30,0,25
K1S,Caribbean origins,Trinidadian/Tobagonian,,35,15,20
K1S,Caribbean origins,Vincentian/Grenadinian,,0,0,0
K1S,Caribbean origins,West Indian; n.o.s.,,35,30,0
K1S,Caribbean origins,Caribbean origins; n.i.e.,,25,10,15
K1S,Latin; Central and South American origins,,,485,250,240
K1S,Latin; Central and South American origins,Aboriginal from Central/South America (except Arawak and Maya),,35,15,20
K1S,Latin; Central and South American origins,Arawak,,0,0,0
K1S,Latin; Central and South American origins,Argentinian,,25,15,10
K1S,Latin; Central and South American origins,Belizean,,0,0,0
K1S,Latin; Central and South American origins,Bolivian,,0,0,0
K1S,Latin; Central and South American origins,Brazilian,,35,10,20
K1S,Latin; Central and South American origins,Chilean,,55,30,20
K1S,Latin; Central and South American origins,Colombian,,110,55,55
K1S,Latin; Central and South American origins,Costa Rican,,0,10,10
K1S,Latin; Central and South American origins,Ecuadorian,,15,0,15
K1S,Latin; Central and South American origins,Guatemalan,,10,0,10
K1S,Latin; Central and South American origins,Guyanese,,55,30,25
K1S,Latin; Central and South American origins,Hispanic,,0,0,10
K1S,Latin; Central and South American origins,Honduran,,10,10,10
K1S,Latin; Central and South American origins,Maya,,0,0,0
K1S,Latin; Central and South American origins,Mexican,,60,45,15
K1S,Latin; Central and South American origins,Nicaraguan,,30,15,15
K1S,Latin; Central and South American origins,Panamanian,,0,0,0
K1S,Latin; Central and South American origins,Paraguayan,,0,0,0
K1S,Latin; Central and South American origins,Peruvian,,30,10,20
K1S,Latin; Central and South American origins,Salvadorean,,15,10,0
K1S,Latin; Central and South American origins,Uruguayan,,0,0,0
K1S,Latin; Central and South American origins,Venezuelan,,0,0,0
K1S,Latin; Central and South American origins,Latin; Central and South American origins; n.i.e.,,20,0,15
K1S,African origins,,,860,400,465
K1S,African origins,Central and West African origins,,200,90,115
K1S,African origins,Central and West African origins,Akan,0,0,0
K1S,African origins,Central and West African origins,Angolan,0,0,0
K1S,African origins,Central and West African origins,Ashanti,0,0,0
K1S,African origins,Central and West African origins,Beninese,0,0,0
K1S,African origins,Central and West African origins,Burkinabe,0,0,0
K1S,African origins,Central and West African origins,Cameroonian,20,10,10
K1S,African origins,Central and West African origins,Chadian,0,0,0
K1S,African origins,Central and West African origins,Congolese,45,15,25
K1S,African origins,Central and West African origins,Edo,0,0,0
K1S,African origins,Central and West African origins,Ewe,0,0,0
K1S,African origins,Central and West African origins,Gabonese,0,0,0
K1S,African origins,Central and West African origins,Gambian,0,0,0
K1S,African origins,Central and West African origins,Ghanaian,10,0,0
K1S,African origins,Central and West African origins,Guinean,0,0,0
K1S,African origins,Central and West African origins,Ibo,0,0,0
K1S,African origins,Central and West African origins,Ivorian,15,0,15
K1S,African origins,Central and West African origins,Liberian,0,0,0
K1S,African origins,Central and West African origins,Malian,0,0,0
K1S,African origins,Central and West African origins,Malinké,0,0,0
K1S,African origins,Central and West African origins,Nigerian,100,45,55
K1S,African origins,Central and West African origins,Peulh,0,0,0
K1S,African origins,Central and West African origins,Senegalese,10,0,10
K1S,African origins,Central and West African origins,Sierra Leonean,0,0,0
K1S,African origins,Central and West African origins,Togolese,0,0,0
K1S,African origins,Central and West African origins,Wolof,0,0,0
K1S,African origins,Central and West African origins,Yoruba,0,10,0
K1S,African origins,Central and West African origins,Central and West African origins; n.i.e.,0,0,0
K1S,African origins,North African origins,,255,130,125
K1S,African origins,North African origins,Algerian,20,0,15
K1S,African origins,North African origins,Berber,0,0,10
K1S,African origins,North African origins,Coptic,15,0,10
K1S,African origins,North African origins,Dinka,0,0,0
K1S,African origins,North African origins,Egyptian,135,85,55
K1S,African origins,North African origins,Libyan,0,0,10
K1S,African origins,North African origins,Maure,0,0,0
K1S,African origins,North African origins,Moroccan,55,25,30
K1S,African origins,North African origins,Sudanese,0,10,0
K1S,African origins,North African origins,Tunisian,15,10,10
K1S,African origins,North African origins,North African origins; n.i.e.,10,10,0
K1S,African origins,Southern and East African origins,,270,115,155
K1S,African origins,Southern and East African origins,Afrikaner,0,0,0
K1S,African origins,Southern and East African origins,Amhara,0,0,0
K1S,African origins,Southern and East African origins,Bantu; n.o.s.,0,0,0
K1S,African origins,Southern and East African origins,Burundian,0,0,0
K1S,African origins,Southern and East African origins,Djiboutian,0,0,0
K1S,African origins,Southern and East African origins,Eritrean,0,0,10
K1S,African origins,Southern and East African origins,Ethiopian,50,20,25
K1S,African origins,Southern and East African origins,Harari,0,0,0
K1S,African origins,Southern and East African origins,Kenyan,0,0,0
K1S,African origins,Southern and East African origins,Malagasy,25,15,15
K1S,African origins,Southern and East African origins,Mauritian,0,0,0
K1S,African origins,Southern and East African origins,Oromo,0,0,0
K1S,African origins,Southern and East African origins,Rwandan,15,0,10
K1S,African origins,Southern and East African origins,Seychellois,0,0,0
K1S,African origins,Southern and East African origins,Somali,65,20,45
K1S,African origins,Southern and East African origins,South African,75,30,50
K1S,African origins,Southern and East African origins,Tanzanian,0,0,0
K1S,African origins,Southern and East African origins,Tigrian,0,0,0
K1S,African origins,Southern and East African origins,Ugandan,10,0,0
K1S,African origins,Southern and East African origins,Zambian,0,0,0
K1S,African origins,Southern and East African origins,Zimbabwean,10,0,0
K1S,African origins,Southern and East African origins,Zulu,10,10,0
K1S,African origins,Southern and East African origins,Southern and East African origins; n.i.e.,0,0,0
K1S,African origins,Other African origins,,145,70,80
K1S,African origins,Other African origins,Black; n.o.s.,10,0,10
K1S,African origins,Other African origins,Other African origins; n.i.e.,140,65,75
K1S,Asian origins,Other African origins,,4065,1995,2070
K1S,Asian origins,West Central Asian and Middle Eastern origins,,1055,535,515
K1S,Asian origins,West Central Asian and Middle Eastern origins,Afghan,25,20,10
K1S,Asian origins,West Central Asian and Middle Eastern origins,Arab; n.o.s.,110,65,45
K1S,Asian origins,West Central Asian and Middle Eastern origins,Armenian,30,15,20
K1S,Asian origins,West Central Asian and Middle Eastern origins,Assyrian,0,0,0
K1S,Asian origins,West Central Asian and Middle Eastern origins,Azerbaijani,10,10,0
K1S,Asian origins,West Central Asian and Middle Eastern origins,Georgian,0,0,0
K1S,Asian origins,West Central Asian and Middle Eastern origins,Hazara,0,0,0
K1S,Asian origins,West Central Asian and Middle Eastern origins,Iranian,170,80,85
K1S,Asian origins,West Central Asian and Middle Eastern origins,Iraqi,80,35,45
K1S,Asian origins,West Central Asian and Middle Eastern origins,Israeli,20,10,10
K1S,Asian origins,West Central Asian and Middle Eastern origins,Jordanian,40,20,20
K1S,Asian origins,West Central Asian and Middle Eastern origins,Kazakh,15,10,10
K1S,Asian origins,West Central Asian and Middle Eastern origins,Kurd,20,0,15
K1S,Asian origins,West Central Asian and Middle Eastern origins,Kuwaiti,0,0,10
K1S,Asian origins,West Central Asian and Middle Eastern origins,Kyrgyz,0,0,0
K1S,Asian origins,West Central Asian and Middle Eastern origins,Lebanese,340,150,195
K1S,Asian origins,West Central Asian and Middle Eastern origins,Palestinian,60,35,20
K1S,Asian origins,West Central Asian and Middle Eastern origins,Pashtun,0,0,0
K1S,Asian origins,West Central Asian and Middle Eastern origins,Saudi Arabian,20,10,10
K1S,Asian origins,West Central Asian and Middle Eastern origins,Syrian,110,65,45
K1S,Asian origins,West Central Asian and Middle Eastern origins,Tajik,0,0,0
K1S,Asian origins,West Central Asian and Middle Eastern origins,Tatar,0,0,0
K1S,Asian origins,West Central Asian and Middle Eastern origins,Turk,70,35,30
K1S,Asian origins,West Central Asian and Middle Eastern origins,Turkmen,0,0,0
K1S,Asian origins,West Central Asian and Middle Eastern origins,Uighur,0,0,0
K1S,Asian origins,West Central Asian and Middle Eastern origins,Uzbek,0,0,0
K1S,Asian origins,West Central Asian and Middle Eastern origins,Yemeni,10,10,0
K1S,Asian origins,West Central Asian and Middle Eastern origins,West Central Asian and Middle Eastern origins; n.i.e.,55,35,25
K1S,Asian origins,South Asian origins,,825,430,395
K1S,Asian origins,South Asian origins,Bangladeshi,85,40,45
K1S,Asian origins,South Asian origins,Bengali,25,15,10
K1S,Asian origins,South Asian origins,Bhutanese,0,0,0
K1S,Asian origins,South Asian origins,East Indian,585,335,255
K1S,Asian origins,South Asian origins,Goan,0,0,0
K1S,Asian origins,South Asian origins,Gujarati,0,0,0
K1S,Asian origins,South Asian origins,Kashmiri,0,0,0
K1S,Asian origins,South Asian origins,Nepali,10,0,10
K1S,Asian origins,South Asian origins,Pakistani,40,10,30
K1S,Asian origins,South Asian origins,Punjabi,0,0,0
K1S,Asian origins,South Asian origins,Sinhalese,0,0,0
K1S,Asian origins,South Asian origins,Sri Lankan,65,40,25
K1S,Asian origins,South Asian origins,Tamil,0,10,0
K1S,Asian origins,South Asian origins,South Asian origins; n.i.e.,50,20,30
K1S,Asian origins,East and Southeast Asian origins,,2225,1045,1180
K1S,Asian origins,East and Southeast Asian origins,Burmese,45,0,35
K1S,Asian origins,East and Southeast Asian origins,Cambodian (Khmer),35,15,20
K1S,Asian origins,East and Southeast Asian origins,Chinese,1550,760,785
K1S,Asian origins,East and Southeast Asian origins,Filipino,250,90,160
K1S,Asian origins,East and Southeast Asian origins,Hmong,0,0,0
K1S,Asian origins,East and Southeast Asian origins,Indonesian,10,10,0
K1S,Asian origins,East and Southeast Asian origins,Japanese,120,55,65
K1S,Asian origins,East and Southeast Asian origins,Karen,0,0,0
K1S,Asian origins,East and Southeast Asian origins,Korean,120,65,55
K1S,Asian origins,East and Southeast Asian origins,Laotian,0,0,10
K1S,Asian origins,East and Southeast Asian origins,Malaysian,15,10,10
K1S,Asian origins,East and Southeast Asian origins,Mongolian,10,0,0
K1S,Asian origins,East and Southeast Asian origins,Singaporean,10,0,0
K1S,Asian origins,East and Southeast Asian origins,Taiwanese,20,10,15
K1S,Asian origins,East and Southeast Asian origins,Thai,0,0,10
K1S,Asian origins,East and Southeast Asian origins,Tibetan,15,0,10
K1S,Asian origins,East and Southeast Asian origins,Vietnamese,130,60,65
K1S,Asian origins,East and Southeast Asian origins,East and Southeast Asian origins; n.i.e.,0,0,0
K1S,Asian origins,Other Asian origins,,0,0,0
K1S,Asian origins,Other Asian origins,Other Asian origins; n.i.e.,0,0,0
K1S,Oceania origins,Other Asian origins,,150,75,75
K1S,Oceania origins,Australian,,100,45,50
K1S,Oceania origins,New Zealander,,40,20,15
K1S,Oceania origins,Pacific Islands origins,,10,0,10
K1S,Oceania origins,Pacific Islands origins,Fijian,0,0,0
K1S,Oceania origins,Pacific Islands origins,Hawaiian,0,0,0
K1S,Oceania origins,Pacific Islands origins,Maori,0,0,0
K1S,Oceania origins,Pacific Islands origins,Polynesian; n.o.s.,0,0,10
K1S,Oceania origins,Pacific Islands origins,Samoan,0,0,0
K1S,Oceania origins,Pacific Islands origins,Pacific Islands origins; n.i.e.,10,0,0
K1Z,North American Aboriginal origins,,,1275,625,650
K1Z,North American Aboriginal origins,First Nations (North American Indian),,935,435,495
K1Z,North American Aboriginal origins,Inuit,,55,45,15
K1Z,North American Aboriginal origins,Métis,,325,155,170
K1Z,Other North American origins,,,5655,2675,2980
K1Z,Other North American origins,Acadian,,70,40,25
K1Z,Other North American origins,American,,475,240,230
K1Z,Other North American origins,Canadian,,5275,2465,2810
K1Z,Other North American origins,New Brunswicker,,0,0,0
K1Z,Other North American origins,Newfoundlander,,20,0,15
K1Z,Other North American origins,Nova Scotian,,0,0,0
K1Z,Other North American origins,Ontarian,,10,0,10
K1Z,Other North American origins,Québécois,,15,0,10
K1Z,Other North American origins,Other North American origins; n.i.e.,,10,0,0
K1Z,European origins,,,14025,6490,7535
K1Z,European origins,British Isles origins,,9610,4400,5210
K1Z,European origins,British Isles origins,Channel Islander,0,0,10
K1Z,European origins,British Isles origins,Cornish,0,0,0
K1Z,European origins,British Isles origins,English,4620,2105,2525
K1Z,European origins,British Isles origins,Irish,4765,2090,2670
K1Z,European origins,British Isles origins,Manx,0,0,0
K1Z,European origins,British Isles origins,Scottish,4415,2005,2405
K1Z,European origins,British Isles origins,Welsh,400,195,200
K1Z,European origins,British Isles origins,British Isles origins; n.i.e.,1070,455,620
K1Z,European origins,French origins,,4215,1845,2375
K1Z,European origins,French origins,Alsatian,10,0,10
K1Z,European origins,French origins,Breton,0,0,0
K1Z,European origins,French origins,Corsican,0,0,0
K1Z,European origins,French origins,French,4210,1845,2370
K1Z,European origins,Western European origins (except French origins),,2860,1280,1580
K1Z,European origins,Western European origins (except French origins),Austrian,140,85,50
K1Z,European origins,Western European origins (except French origins),Bavarian,10,0,0
K1Z,European origins,Western European origins (except French origins),Belgian,50,25,30
K1Z,European origins,Western European origins (except French origins),Dutch,650,290,360
K1Z,European origins,Western European origins (except French origins),Flemish,0,0,0
K1Z,European origins,Western European origins (except French origins),Frisian,0,0,0
K1Z,European origins,Western European origins (except French origins),German,2110,925,1185
K1Z,European origins,Western European origins (except French origins),Luxembourger,0,0,10
K1Z,European origins,Western European origins (except French origins),Swiss,120,60,55
K1Z,European origins,Western European origins (except French origins),Western European origins; n.i.e.,15,10,15
K1Z,European origins,Northern European origins (except British Isles origins),,525,285,240
K1Z,European origins,Northern European origins (except British Isles origins),Danish,130,95,35
K1Z,European origins,Northern European origins (except British Isles origins),Finnish,130,55,70
K1Z,European origins,Northern European origins (except British Isles origins),Icelandic,25,0,15
K1Z,European origins,Northern European origins (except British Isles origins),Norwegian,120,65,55
K1Z,European origins,Northern European origins (except British Isles origins),Swedish,115,55,60
K1Z,European origins,Northern European origins (except British Isles origins),Northern European origins; n.i.e.,50,20,25
K1Z,European origins,Eastern European origins,,2405,1050,1355
K1Z,European origins,Eastern European origins,Bulgarian,75,40,35
K1Z,European origins,Eastern European origins,Byelorussian,15,10,10
K1Z,European origins,Eastern European origins,Czech,145,55,90
K1Z,European origins,Eastern European origins,Czechoslovakian; n.o.s.,10,10,10
K1Z,European origins,Eastern European origins,Estonian,40,20,20
K1Z,European origins,Eastern European origins,Hungarian,240,130,115
K1Z,European origins,Eastern European origins,Latvian,20,0,15
K1Z,European origins,Eastern European origins,Lithuanian,60,15,45
K1Z,European origins,Eastern European origins,Moldovan,0,0,0
K1Z,European origins,Eastern European origins,Polish,955,430,525
K1Z,European origins,Eastern European origins,Romanian,160,65,90
K1Z,European origins,Eastern European origins,Russian,450,180,275
K1Z,European origins,Eastern European origins,Slovak,60,40,15
K1Z,European origins,Eastern European origins,Ukrainian,665,280,390
K1Z,European origins,Eastern European origins,Eastern European origins; n.i.e.,40,20,20
K1Z,European origins,Southern European origins,,1820,825,990
K1Z,European origins,Southern European origins,Albanian,45,30,20
K1Z,European origins,Southern European origins,Bosnian,30,10,25
K1Z,European origins,Southern European origins,Catalan,0,0,0
K1Z,European origins,Southern European origins,Croatian,125,30,100
K1Z,European origins,Southern European origins,Cypriot,0,0,0
K1Z,European origins,Southern European origins,Greek,145,60,80
K1Z,European origins,Southern European origins,Italian,1040,495,545
K1Z,European origins,Southern European origins,Kosovar,10,0,0
K1Z,European origins,Southern European origins,Macedonian,15,10,10
K1Z,European origins,Southern European origins,Maltese,10,0,10
K1Z,European origins,Southern European origins,Montenegrin,10,0,10
K1Z,European origins,Southern European origins,Portuguese,130,55,75
K1Z,European origins,Southern European origins,Serbian,50,25,30
K1Z,European origins,Southern European origins,Sicilian,20,10,10
K1Z,European origins,Southern European origins,Slovenian,25,15,0
K1Z,European origins,Southern European origins,Spanish,215,90,120
K1Z,European origins,Southern European origins,Yugoslavian; n.o.s.,20,10,15
K1Z,European origins,Southern European origins,Southern European origins; n.i.e.,0,0,0
K1Z,European origins,Other European origins,,355,160,190
K1Z,European origins,Other European origins,Basque,0,0,0
K1Z,European origins,Other European origins,Jewish,295,140,155
K1Z,European origins,Other European origins,Roma (Gypsy),10,0,0
K1Z,European origins,Other European origins,Slavic; n.o.s.,0,0,0
K1Z,European origins,Other European origins,Other European origins; n.i.e.,55,25,30
K1Z,Caribbean origins,Other European origins,,655,310,345
K1Z,Caribbean origins,Antiguan,,0,0,0
K1Z,Caribbean origins,Bahamian,,0,0,0
K1Z,Caribbean origins,Barbadian,,45,15,30
K1Z,Caribbean origins,Bermudan,,0,0,0
K1Z,Caribbean origins,Carib,,0,0,0
K1Z,Caribbean origins,Cuban,,25,15,10
K1Z,Caribbean origins,Dominican,,15,10,10
K1Z,Caribbean origins,Grenadian,,0,0,0
K1Z,Caribbean origins,Guadeloupean,,0,0,0
K1Z,Caribbean origins,Haitian,,260,115,150
K1Z,Caribbean origins,Jamaican,,190,100,95
K1Z,Caribbean origins,Kittitian/Nevisian,,0,0,0
K1Z,Caribbean origins,Martinican,,0,0,0
K1Z,Caribbean origins,Montserratan,,0,0,0
K1Z,Caribbean origins,Puerto Rican,,0,0,0
K1Z,Caribbean origins,St. Lucian,,15,0,15
K1Z,Caribbean origins,Trinidadian/Tobagonian,,75,45,30
K1Z,Caribbean origins,Vincentian/Grenadinian,,0,0,0
K1Z,Caribbean origins,West Indian; n.o.s.,,20,10,10
K1Z,Caribbean origins,Caribbean origins; n.i.e.,,20,10,15
K1Z,Latin; Central and South American origins,,,375,185,195
K1Z,Latin; Central and South American origins,Aboriginal from Central/South America (except Arawak and Maya),,25,15,10
K1Z,Latin; Central and South American origins,Arawak,,0,0,0
K1Z,Latin; Central and South American origins,Argentinian,,0,0,0
K1Z,Latin; Central and South American origins,Belizean,,0,0,0
K1Z,Latin; Central and South American origins,Bolivian,,0,0,0
K1Z,Latin; Central and South American origins,Brazilian,,40,25,15
K1Z,Latin; Central and South American origins,Chilean,,10,10,0
K1Z,Latin; Central and South American origins,Colombian,,35,10,25
K1Z,Latin; Central and South American origins,Costa Rican,,10,0,10
K1Z,Latin; Central and South American origins,Ecuadorian,,0,0,0
K1Z,Latin; Central and South American origins,Guatemalan,,0,0,10
K1Z,Latin; Central and South American origins,Guyanese,,60,35,20
K1Z,Latin; Central and South American origins,Hispanic,,20,10,0
K1Z,Latin; Central and South American origins,Honduran,,0,0,0
K1Z,Latin; Central and South American origins,Maya,,0,0,0
K1Z,Latin; Central and South American origins,Mexican,,65,40,25
K1Z,Latin; Central and South American origins,Nicaraguan,,35,15,15
K1Z,Latin; Central and South American origins,Panamanian,,0,0,10
K1Z,Latin; Central and South American origins,Paraguayan,,0,0,0
K1Z,Latin; Central and South American origins,Peruvian,,20,10,15
K1Z,Latin; Central and South American origins,Salvadorean,,50,35,15
K1Z,Latin; Central and South American origins,Uruguayan,,0,0,0
K1Z,Latin; Central and South American origins,Venezuelan,,15,0,10
K1Z,Latin; Central and South American origins,Latin; Central and South American origins; n.i.e.,,30,10,20
K1Z,African origins,,,1670,785,885
K1Z,African origins,Central and West African origins,,235,115,120
K1Z,African origins,Central and West African origins,Akan,0,0,0
K1Z,African origins,Central and West African origins,Angolan,20,0,15
K1Z,African origins,Central and West African origins,Ashanti,0,0,0
K1Z,African origins,Central and West African origins,Beninese,0,0,0
K1Z,African origins,Central and West African origins,Burkinabe,0,0,0
K1Z,African origins,Central and West African origins,Cameroonian,40,15,30
K1Z,African origins,Central and West African origins,Chadian,25,10,15
K1Z,African origins,Central and West African origins,Congolese,75,30,45
K1Z,African origins,Central and West African origins,Edo,0,0,0
K1Z,African origins,Central and West African origins,Ewe,0,0,0
K1Z,African origins,Central and West African origins,Gabonese,0,0,0
K1Z,African origins,Central and West African origins,Gambian,0,0,0
K1Z,African origins,Central and West African origins,Ghanaian,15,0,15
K1Z,African origins,Central and West African origins,Guinean,0,0,0
K1Z,African origins,Central and West African origins,Ibo,0,0,0
K1Z,African origins,Central and West African origins,Ivorian,25,10,15
K1Z,African origins,Central and West African origins,Liberian,0,0,0
K1Z,African origins,Central and West African origins,Malian,10,0,0
K1Z,African origins,Central and West African origins,Malinké,0,0,0
K1Z,African origins,Central and West African origins,Nigerian,10,10,0
K1Z,African origins,Central and West African origins,Peulh,0,0,0
K1Z,African origins,Central and West African origins,Senegalese,0,0,0
K1Z,African origins,Central and West African origins,Sierra Leonean,0,0,0
K1Z,African origins,Central and West African origins,Togolese,25,10,15
K1Z,African origins,Central and West African origins,Wolof,0,0,0
K1Z,African origins,Central and West African origins,Yoruba,0,0,0
K1Z,African origins,Central and West African origins,Central and West African origins; n.i.e.,25,15,0
K1Z,African origins,North African origins,,280,135,135
K1Z,African origins,North African origins,Algerian,15,0,10
K1Z,African origins,North African origins,Berber,30,20,10
K1Z,African origins,North African origins,Coptic,0,0,0
K1Z,African origins,North African origins,Dinka,0,0,0
K1Z,African origins,North African origins,Egyptian,85,40,50
K1Z,African origins,North African origins,Libyan,10,0,0
K1Z,African origins,North African origins,Maure,0,0,0
K1Z,African origins,North African origins,Moroccan,45,10,35
K1Z,African origins,North African origins,Sudanese,45,20,20
K1Z,African origins,North African origins,Tunisian,10,10,0
K1Z,African origins,North African origins,North African origins; n.i.e.,40,25,15
K1Z,African origins,Southern and East African origins,,805,385,420
K1Z,African origins,Southern and East African origins,Afrikaner,0,0,0
K1Z,African origins,Southern and East African origins,Amhara,0,0,0
K1Z,African origins,Southern and East African origins,Bantu; n.o.s.,0,0,0
K1Z,African origins,Southern and East African origins,Burundian,100,40,60
K1Z,African origins,Southern and East African origins,Djiboutian,25,10,20
K1Z,African origins,Southern and East African origins,Eritrean,175,75,95
K1Z,African origins,Southern and East African origins,Ethiopian,95,45,50
K1Z,African origins,Southern and East African origins,Harari,0,0,0
K1Z,African origins,Southern and East African origins,Kenyan,0,0,0
K1Z,African origins,Southern and East African origins,Malagasy,40,20,20
K1Z,African origins,Southern and East African origins,Mauritian,10,0,10
K1Z,African origins,Southern and East African origins,Oromo,10,10,0
K1Z,African origins,Southern and East African origins,Rwandan,10,0,10
K1Z,African origins,Southern and East African origins,Seychellois,0,0,0
K1Z,African origins,Southern and East African origins,Somali,300,170,135
K1Z,African origins,Southern and East African origins,South African,10,10,0
K1Z,African origins,Southern and East African origins,Tanzanian,0,0,0
K1Z,African origins,Southern and East African origins,Tigrian,10,0,10
K1Z,African origins,Southern and East African origins,Ugandan,10,0,10
